"business_activities","cuisine_name","license_no","licensing_agency","location_gps","number_of_employees","load_timestamp"
"Two Star Hotel","African cuisine","964836","Department of Economic Development- Dubai","25.269179223064935,55.306475306726504","7.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","","749648","Department of Economic Development- Dubai","25.204849,55.270783","3.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","840445","Department of Economic Development- Dubai",",","0.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","519876","Department of Economic Development- Dubai","25.204929,55.270840","20.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","570586","Department of Economic Development- Dubai",",","27.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Others","913422","Department of Economic Development- Dubai","25.237236228763805,55.30758929362335","19.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","567245","Department of Economic Development- Dubai","25.2674048, 55.3484288","3.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","549187","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Preparation of Local Sweets","Not Applicable","117039","Department of Economic Development- Dubai","25.231498659187874,55.28625247428283","13.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","580746","Department of Economic Development- Dubai","25.044470313080836,55.16209602355957","2.00","2026-06-29T16:24:56.000Z"
"Malls/SME/Intaleq","International cuisine","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","7.00","2026-06-29T16:24:56.000Z"
"Global Village","","680396","Department of Economic Development- Dubai","25.07456006594011,55.3077507019043","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","217213","Department of Economic Development- Dubai",",","0.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","30849","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","International cuisine","833131","Department of Economic Development- Dubai","25.278621339791172,55.41030435167235","9.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.12357613962007,55.19160032272339","6.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","581133","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","1233725","Department of Economic Development- Dubai","25.1814302, 55.2704869","1.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","Not Applicable","1071621","Department of Economic Development- Dubai","25.1787673332162,55.36216735839844","2.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Arabic cuisine","217213","Department of Economic Development- Dubai",",","22.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","935715","Department of Economic Development- Dubai","25.299846588715514,55.346554649202716","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","676051","Department of Economic Development- Dubai","25.11172287615557,55.21762814372778","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","686911","Department of Economic Development- Dubai","25.080623772444866,55.14415740966797","69.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","979184","Department of Economic Development- Dubai","25.06880704116908,55.309295654296875","1.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","689520","Department of Economic Development- Dubai","25.20801493505961,55.262527143783586","3.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","794090","Department of Economic Development- Dubai","25.07589217943146,55.1316014773529","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","122402","Department of Economic Development- Dubai",",","10.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai","25.200819101513655,55.274892300367355","11.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","","244466","Department of Economic Development- Dubai","25.192390444775604,55.34347454876785","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","735561","Department of Economic Development- Dubai","25.2366574884276,55.307504935322186","15.00","2026-06-29T16:24:56.000Z"
"Cafeteria","","706613","Department of Economic Development- Dubai","25.2007329458605,55.38613021373749","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","804674","Department of Economic Development- Dubai","25.288629929280678,55.377065630746074","0.00","2026-06-29T16:24:56.000Z"
"Dry Food Trading","Not Applicable","978601","Department of Economic Development- Dubai","25.08090557201498,55.13667941093445","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Italian Cuisine","635693","Department of Economic Development- Dubai","25.204929,55.270840","4.00","2026-06-29T16:24:56.000Z"
"Five Star Hotel","Not Applicable","547607","Department of Economic Development- Dubai","25.1437056,55.192780799999994","15.00","2026-06-29T16:24:56.000Z"
"Confectionary & Chocolate Trading","Not Applicable","1162782","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","654567","Department of Economic Development- Dubai","25.24174075383794,55.271447317283446","35.00","2026-06-29T16:24:56.000Z"
"Five Star Hotel","International cuisine","825850","Department of Economic Development- Dubai",",","4.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.2618641,55.315122200000005","7.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","123366","Department of Economic Development- Dubai","25.13459126865896,55.23385820428621","24.00","2026-06-29T16:24:56.000Z"
"Snack Food Trading","Not Applicable","719125","Department of Economic Development- Dubai","24.925227,54.9969743","1.00","2026-06-29T16:24:56.000Z"
"Supermarket","Others","782824","Department of Economic Development- Dubai","25.2774826,55.4113442","32.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","International cuisine","972242","Department of Economic Development- Dubai","25.277710651151967,55.33073899011855","9.00","2026-06-29T16:24:56.000Z"
"Restaurant","Turkish cuisine","1073001","Department of Economic Development- Dubai","25.147460101488466,55.1978874206543","4.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","1041708","Department of Economic Development- Dubai","25.07813613431017,55.30895233154297","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","586292","Department of Economic Development- Dubai",",","9.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","622887","Department of Economic Development- Dubai","25.139627295451106,55.219932122014825","2.00","2026-06-29T16:24:56.000Z"
"Fish & Marine Animals Trading","Not Applicable","130495","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Chinese cuisine","961550","Department of Economic Development- Dubai",",","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai",",","27.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","16.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","580746","Department of Economic Development- Dubai","24.989169895608924,55.37315368652344","1.00","2026-06-29T16:24:56.000Z"
"Training Centre","Not Applicable","833131","Department of Economic Development- Dubai","","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","674379","Department of Economic Development- Dubai","25.204929,55.270840","19.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","572334","Department of Economic Development- Dubai","25.204929,55.270840","2.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","211410","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","217213","Department of Economic Development- Dubai","25.22313136257102,55.31847953796387","8.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","1137437","Department of Economic Development- Dubai","25.257271910679776,55.295090675354004","8.00","2026-06-29T16:24:56.000Z"
"School","Not Applicable","122177","Department of Economic Development- Dubai","25.10881994763706,55.18902540206909","0.00","2026-06-29T16:24:56.000Z"
"School","","117186","Department of Economic Development- Dubai","25.204929,55.270840","4.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","878760","Department of Economic Development- Dubai",",","34.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","768651","Department of Economic Development- Dubai","25.204929,55.270840","15.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","922354","Department of Economic Development- Dubai",",","13.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","107526","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","684065","Department of Economic Development- Dubai","25.114124576308633,55.19350570004667","34.00","2026-06-29T16:24:56.000Z"
"Supermarket","","746176","Department of Economic Development- Dubai","25.204929,55.270840","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","585863","Department of Economic Development- Dubai","25.261757118202777,55.33274888992298","6.00","2026-06-29T16:24:56.000Z"
"Bread & Bakery Products Trading","","804455","Department of Economic Development- Dubai","25.12925739306529,55.36353972582356","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","106575","Department of Economic Development- Dubai","25.204929,55.270840","9.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","962509","Department of Economic Development- Dubai","24.995768692920283,55.17967790365219","9.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","628505","Department of Economic Development- Dubai","25.262003699999998,55.315205299999995","3.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.01128119672781,55.089777326849344","9.00","2026-06-29T16:24:56.000Z"
"Permanent Food Truck","Arabic cuisine","766189","Department of Economic Development- Dubai","24.922123, 54.999615","2.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","595078","Department of Economic Development- Dubai","25.080176778692888,55.123794078826904","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","835069","Department of Economic Development- Dubai","25.211699199999998,55.279616","19.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","595078","Department of Economic Development- Dubai","25.2621453,55.3151912","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","785901","Department of Economic Development- Dubai","25.225725301892474,55.25570730895561","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","613360","Department of Economic Development- Dubai","25.061806070381433,55.14067075828672","12.00","2026-06-29T16:24:56.000Z"
"Restaurant","French Cuisine","982708","Department of Economic Development- Dubai","25.077983235975204,55.13383891943359","65.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","Not Applicable","742087","Department of Economic Development- Dubai","25.204929,55.270840","1.00","2026-06-29T16:24:56.000Z"
"Private Hospital","International cuisine","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","56.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","514379","Department of Economic Development- Dubai","25.22332785910546,55.37602929228808","25.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","687133","Department of Economic Development- Dubai",",","5.00","2026-06-29T16:24:56.000Z"
"Four Star Hotels","Thai Cuisine","572799","Department of Economic Development- Dubai","25.204929,55.270840","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","530289","Department of Economic Development- Dubai","25.25272251721965,55.30451534450367","42.00","2026-06-29T16:24:56.000Z"
"Supermarket","","575602","Department of Economic Development- Dubai","25.13315116800222,55.25279179214078","22.00","2026-06-29T16:24:56.000Z"
"Preparation of Shawarma","International cuisine","689520","Department of Economic Development- Dubai","25.262133,55.3151914","3.00","2026-06-29T16:24:56.000Z"
"Training Centre","Indian cuisine","577546","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","217213","Department of Economic Development- Dubai","25.23200222805657,55.32435894012451","6.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Others","628505","Department of Economic Development- Dubai","25.262112899999998,55.315048999999995","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Italian Cuisine","878449","Department of Economic Development- Dubai","25.199924638689083,55.249168713424304","18.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","595078","Department of Economic Development- Dubai","25.080312820442302,55.123300552368164","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1169409","Department of Economic Development- Dubai","25.25533126116562,55.288095474243164","19.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","759945","Department of Economic Development- Dubai","25.077962985246096,55.1337847887451","1.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","946860","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Preparation of Sweets and Candies","Not Applicable","1382114","Department of Economic Development- Dubai",",","13.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","745950","Department of Economic Development- Dubai","25.22313192179736,55.27004649557057","5.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","750534","Department of Economic Development- Dubai","25.270529422085772,55.30401657552284","18.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","16.00","2026-06-29T16:24:56.000Z"
"Warehousing","Not Applicable","893899","Department of Economic Development- Dubai","25.16521221072181,55.386725664138794","9.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","Not Applicable","839144","Department of Economic Development- Dubai","25.171931700507923,55.38564205169678","4.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","689520","Department of Economic Development- Dubai","25.2617204,55.3149974","3.00","2026-06-29T16:24:56.000Z"
"Selling Commodities By Automatic Vending Machines","Not Applicable","543228","Department of Economic Development- Dubai","25.27517461264326,55.39056655487002","14.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai",",","9.00","2026-06-29T16:24:56.000Z"
"Event Production","Others","585863","Department of Economic Development- Dubai","25.14101577,55.25194938","11.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","595078","Department of Economic Development- Dubai","25.2621453,55.3151912","1.00","2026-06-29T16:24:56.000Z"
"Supermarket","","601636","Department of Economic Development- Dubai","25.271842439034828,55.31263096679231","8.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","1229537","Department of Economic Development- Dubai","25.23570470093855,55.435984432697296","4.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai",",","6.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.2608988,55.3177427","8.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","828292","Department of Economic Development- Dubai","25.216338258876092,55.2597713470459","43.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","","572244","Department of Economic Development- Dubai","25.2098553, 55.2731597","1.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","International cuisine","630219","Department of Economic Development- Dubai","25.137203876821086,55.12046813964844","14.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Chinese cuisine","598191","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","821415","Department of Economic Development- Dubai","25.1361788,55.238262","27.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","International cuisine","217213","Department of Economic Development- Dubai","25.227034733059977,55.32173085966873","22.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","817272","Department of Economic Development- Dubai","25.059652378365797,55.212868166306514","23.00","2026-06-29T16:24:56.000Z"
"Hospitality Services","Arabic cuisine","997082","Department of Economic Development- Dubai","25.26242903605214,55.3266978263855","57.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","689520","Department of Economic Development- Dubai","25.176297658189892,55.44375400769387","3.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","International cuisine","217213","Department of Economic Development- Dubai","25.11282489016063,55.25472342967987","58.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","1117918","Department of Economic Development- Dubai","25.2234305, 55.2597723","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","217213","Department of Economic Development- Dubai",",","20.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","696477","Department of Economic Development- Dubai","25.19690626336778,55.265504584525424","2.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","980977","Department of Economic Development- Dubai",",","20.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","687133","Department of Economic Development- Dubai",",","6.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","International cuisine","628505","Department of Economic Development- Dubai","25.262003699999998,55.315205299999995","2.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","696933","Department of Economic Development- Dubai","25.26237159138373,55.31015782905274","2.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","519876","Department of Economic Development- Dubai","25.2618464,55.3150638","16.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","Not Applicable","1092033","Department of Economic Development- Dubai","25.178068252014157,55.54517984390259","31.00","2026-06-29T16:24:56.000Z"
"Dry Food Trading","Arabic cuisine","806396","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","French Cuisine","1334472","Department of Economic Development- Dubai","25.1906196, 55.3026103","16.00","2026-06-29T16:24:56.000Z"
"Global Village","International cuisine","680396","Department of Economic Development- Dubai","25.07456006594011,55.3077507019043","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","687133","Department of Economic Development- Dubai","24.92199, 54.999716","2.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","707303","Department of Economic Development- Dubai","25.204929,55.270840","5.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","American Cuisine","808679","Department of Economic Development- Dubai","25.16010669842373,55.29453681013575","1.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","","241026","Department of Economic Development- Dubai","25.204929,55.270840","16.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","1353652","Department of Economic Development- Dubai","25.22757175016787, 55.29191460238899","3.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai",",","22.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","689520","Department of Economic Development- Dubai","25.074423023044776,55.1294392208252","4.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai",",","18.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","791161","Department of Economic Development- Dubai","25.19419555619256,55.235174149274826","32.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","1041708","Department of Economic Development- Dubai","25.06880704116916,55.30912399291992","1.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","119998","Department of Economic Development- Dubai","25.2611845,55.315533900000005","15.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Indian cuisine","117441","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Mini Store","Others","524244","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Food stuff Supply Services","International cuisine","680328","Department of Economic Development- Dubai","24.96698381273457,55.20146191117419","87.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.076270372538804,55.304832458496094","1.00","2026-06-29T16:24:56.000Z"
"Permanent Food Truck","Not Applicable","700481","Department of Economic Development- Dubai",",","33.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","779794","Department of Economic Development- Dubai","25.189727549038697,55.23165916549681","0.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","567245","Department of Economic Development- Dubai","25.2337754,55.4729738","2.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","696933","Department of Economic Development- Dubai","25.139651463255433,55.18887519836426","3.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","832541","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","916562","Department of Economic Development- Dubai","24.85202445446182,55.0587994977051","33.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","1036026","Department of Economic Development- Dubai",",","12.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","604424","Department of Economic Development- Dubai","25.174082441617085,55.38943469524372","2.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","616460","Department of Economic Development- Dubai","25.130480046119498,55.117157623171806","10.00","2026-06-29T16:24:56.000Z"
"Restaurant","Chinese cuisine","682533","Department of Economic Development- Dubai","25.1642673,55.4148436","4.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Thai Cuisine","217213","Department of Economic Development- Dubai",",","21.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","10.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","784581","Department of Economic Development- Dubai","25.186216795108326,55.2812065635851","107.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1080000","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Others","215925","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","766189","Department of Economic Development- Dubai","24.919657885046153,55.00881850719452","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","683545","Department of Economic Development- Dubai","25.232972723612757,55.277143191185004","6.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","778368","Department of Economic Development- Dubai",",","7.00","2026-06-29T16:24:56.000Z"
"Fruit Canning and Packaging","Not Applicable","996034","Department of Economic Development- Dubai","25.276930114799583,55.331864232241465","54.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","786857","Department of Economic Development- Dubai","25.23135027182746,55.262650842528046","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","217213","Department of Economic Development- Dubai","25.261515799999998,55.315111599999994","8.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","943565","Department of Economic Development- Dubai",",","4.00","2026-06-29T16:24:56.000Z"
"Restaurant","Italian Cuisine","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.262112899999998,55.315048999999995","7.00","2026-06-29T16:24:56.000Z"
"Hotel","Not Applicable","992156","Department of Economic Development- Dubai","25.1006369204645,55.29031076168541","0.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Others","1082441","Department of Economic Development- Dubai","25.2485862,55.4803201","5.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","808477","Department of Economic Development- Dubai","25.273547261722587,55.301869805541045","2.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","779658","Department of Economic Development- Dubai","25.111676225244697,55.20427985062065","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Arabic cuisine","682762","Department of Economic Development- Dubai","25.204929,55.270840","9.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","","650599","Department of Economic Development- Dubai","25.279987918321506,55.385867301851704","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Arabic cuisine","217213","Department of Economic Development- Dubai",",","21.00","2026-06-29T16:24:56.000Z"
"Mini Store","Not Applicable","119928","Department of Economic Development- Dubai","25.234362684974847,55.29324870309313","17.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","1162376","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","122809","Department of Economic Development- Dubai","25.22731997518195,55.397669268961856","11.00","2026-06-29T16:24:56.000Z"
"Dry Food Trading","Others","1337378","Department of Economic Development- Dubai","25.17946641040846,55.35015106201172","3.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.262144000000003,55.315211000000005","7.00","2026-06-29T16:24:56.000Z"
"Five Star Hotel","International cuisine","218871","Department of Economic Development- Dubai","25.188010998509245,55.26908229246641","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","217213","Department of Economic Development- Dubai","25.035196794486662,55.09855351474607","363.00","2026-06-29T16:24:56.000Z"
"Restaurant","Italian Cuisine","1022380","Department of Economic Development- Dubai","25.101805517549657,55.23994445800781","26.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","787743","Department of Economic Development- Dubai","25.248007455765,55.30437648296356","9.00","2026-06-29T16:24:56.000Z"
"Supermarket","Others","708263","Department of Economic Development- Dubai","25.25864689082545,55.32890003386843","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","American Cuisine","1270694","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","21.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","1050849","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Pastry Trading","Not Applicable","817472","Department of Economic Development- Dubai","25.2748398,55.3041493","0.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","696933","Department of Economic Development- Dubai","24.914307498374505,55.012664794921875","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","1376960","Department of Economic Development- Dubai","25.1747378, 55.3100527","13.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","International cuisine","628505","Department of Economic Development- Dubai",",","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","864341","Department of Economic Development- Dubai","25.272269998453105,55.43071843535215","2.00","2026-06-29T16:24:56.000Z"
"Dry Food Trading","Others","503527","Department of Economic Development- Dubai","24.97157582885417,55.19990846514702","175.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","","583572","Department of Economic Development- Dubai","25.17644432916321,55.3880862146616","1.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.262112899999998,55.315048999999995","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","Chinese cuisine","1262132","Department of Economic Development- Dubai","25.1894, 55.2691","1.00","2026-06-29T16:24:56.000Z"
"Supermarket","Others","207334","Department of Economic Development- Dubai","25.268141381035957,55.307613085594184","69.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai",",","11.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","American Cuisine","695783","Department of Economic Development- Dubai","25.197890988592587,55.27933806180954","17.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Others","239343","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai","25.2621432,55.3151883","41.00","2026-06-29T16:24:56.000Z"
"Fresh & Chilled & Frozen Meat Trading","Not Applicable","901580","Department of Economic Development- Dubai","25.2762775,55.3095335","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","1424438","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","12.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.23200222805657,55.32435894012451","6.00","2026-06-29T16:24:56.000Z"
